smiles_solvent,smiles_solute,inchi_solvent,inchi_solute,dGsolv_avg,dGsolv_std [kcal/mol],dGsolv_all [kcal/mol],Source_all,mw_solvent,mw_solute,heavy_atoms_solvent,heavy_atoms_solute
CC(C)(C)OC,C1=CC=C2C(=C1)C3=CC=CC=C3C2=O,"InChI=1/C5H12O/c1-5(2,3)6-4/h1-4H3",InChI=1/C13H8O/c14-13-11-7-3-1-5-9(11)10-6-2-4-8-12(10)13/h1-8H,-10.99,0,[-10.99],['Abraham Paper (A12)'],88.15,180.206,6,14
CO,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,"InChI=1/CH4O/c1-2/h2H,1H3",InChI=1/C16H10/c1-2-8-13-12(7-1)14-9-3-5-11-6-4-10-15(13)16(11)14/h1-10H,-11.16,0,"[-11.16, -11.16]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",32.042,202.256,2,16
CCO,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3",InChI=1/C16H10/c1-2-8-13-12(7-1)14-9-3-5-11-6-4-10-15(13)16(11)14/h1-10H,-11.37,0,"[-11.37, -11.37]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",46.069,202.256,3,16
CCCO,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,"InChI=1/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",InChI=1/C16H10/c1-2-8-13-12(7-1)14-9-3-5-11-6-4-10-15(13)16(11)14/h1-10H,-11.35,0,"[-11.35, -11.35]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",60.096,202.256,4,16
CCCCO,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",InChI=1/C16H10/c1-2-8-13-12(7-1)14-9-3-5-11-6-4-10-15(13)16(11)14/h1-10H,-11.46,0,"[-11.46, -11.46]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",74.123,202.256,5,16
CCCCCO,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,"InChI=1/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3",InChI=1/C16H10/c1-2-8-13-12(7-1)14-9-3-5-11-6-4-10-15(13)16(11)14/h1-10H,-11.58,0,"[-11.58, -11.58]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",88.15,202.256,6,16
CCCCCCO,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,"InChI=1/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",InChI=1/C16H10/c1-2-8-13-12(7-1)14-9-3-5-11-6-4-10-15(13)16(11)14/h1-10H,-11.69,0,"[-11.69, -11.69]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",102.177,202.256,7,16
CCCCCCCO,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,"InChI=1/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3",InChI=1/C16H10/c1-2-8-13-12(7-1)14-9-3-5-11-6-4-10-15(13)16(11)14/h1-10H,-11.9,0,"[-11.9, -11.9]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",116.204,202.256,8,16
CCCCCCCCO,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,"InChI=1/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3",InChI=1/C16H10/c1-2-8-13-12(7-1)14-9-3-5-11-6-4-10-15(13)16(11)14/h1-10H,-11.75,0,[-11.75],['Abraham Paper (A12)'],130.231,202.256,9,16
CCC(O)(C)C,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,"InChI=1/C5H12O/c1-4-5(2,3)6/h6H,4H2,1-3H3",InChI=1/C16H10/c1-2-8-13-12(7-1)14-9-3-5-11-6-4-10-15(13)16(11)14/h1-10H,-11.35,0,[-11.35],['Abraham Paper (A12)'],88.15,202.256,6,16
CC(O)CC(C)C,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,"InChI=1/C6H14O/c1-5(2)4-6(3)7/h5-7H,4H2,1-3H3",InChI=1/C16H10/c1-2-8-13-12(7-1)14-9-3-5-11-6-4-10-15(13)16(11)14/h1-10H,-11.24,0,[-11.24],['Abraham Paper (A12)'],102.177,202.256,7,16
CCCC(C)CO,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,"InChI=1/C6H14O/c1-3-4-6(2)5-7/h6-7H,3-5H2,1-2H3",InChI=1/C16H10/c1-2-8-13-12(7-1)14-9-3-5-11-6-4-10-15(13)16(11)14/h1-10H,-11.38,0,[-11.38],['Abraham Paper (A12)'],102.177,202.256,7,16
CCCC(O)C,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,"InChI=1/C5H12O/c1-3-4-5(2)6/h5-6H,3-4H2,1-2H3",InChI=1/C16H10/c1-2-8-13-12(7-1)14-9-3-5-11-6-4-10-15(13)16(11)14/h1-10H,-11.37,0,[-11.37],['Abraham Paper (A12)'],88.15,202.256,6,16
CCCCC(CC)CO,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,"InChI=1/C8H18O/c1-3-5-6-8(4-2)7-9/h8-9H,3-7H2,1-2H3",InChI=1/C16H10/c1-2-8-13-12(7-1)14-9-3-5-11-6-4-10-15(13)16(11)14/h1-10H,-11.49,0,[-11.49],['Abraham Paper (A12)'],130.231,202.256,9,16
CCOCC,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,"InChI=1/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",InChI=1/C16H10/c1-2-8-13-12(7-1)14-9-3-5-11-6-4-10-15(13)16(11)14/h1-10H,-12.4,0,[-12.4],['Abraham Paper (A12)'],74.123,202.256,5,16
CCCCOCCCC,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,"InChI=1/C8H18O/c1-3-5-7-9-8-6-4-2/h3-8H2,1-2H3",InChI=1/C16H10/c1-2-8-13-12(7-1)14-9-3-5-11-6-4-10-15(13)16(11)14/h1-10H,-12.07,0,"[-12.07, -12.07]","['Abraham Paper (A12)', 'Abraham Paper (A9)']",130.231,202.256,9,16
CC(C)(C)OC,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,"InChI=1/C5H12O/c1-5(2,3)6-4/h1-4H3",InChI=1/C16H10/c1-2-8-13-12(7-1)14-9-3-5-11-6-4-10-15(13)16(11)14/h1-10H,-12.22,0,[-12.22],['Abraham Paper (A12)'],88.15,202.256,6,16
CC(=O)OCC,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,"InChI=1/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",InChI=1/C16H10/c1-2-8-13-12(7-1)14-9-3-5-11-6-4-10-15(13)16(11)14/h1-10H,-12.66,0,"[-12.66, -12.66]","['Abraham Paper (A12)', 'Abraham Paper (A3)']",88.106,202.256,6,16
CC(=O)OCCCC,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,"InChI=1/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3",InChI=1/C16H10/c1-2-8-13-12(7-1)14-9-3-5-11-6-4-10-15(13)16(11)14/h1-10H,-12.65,0,"[-12.65, -12.65]","['Abraham Paper (A12)', 'Abraham Paper (A3)']",116.16,202.256,8,16
CO,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,"InChI=1/CH4O/c1-2/h2H,1H3","InChI=1/C12H9NS/c1-3-7-11-9(5-1)13-10-6-2-4-8-12(10)14-11/h1-8,13H",-13.09,0,"[-13.09, -13.09]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",32.042,199.278,2,14
CCO,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3","InChI=1/C12H9NS/c1-3-7-11-9(5-1)13-10-6-2-4-8-12(10)14-11/h1-8,13H",-13.2,0,"[-13.2, -13.2]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",46.069,199.278,3,14
CCCO,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,"InChI=1/C3H8O/c1-2-3-4/h4H,2-3H2,1H3","InChI=1/C12H9NS/c1-3-7-11-9(5-1)13-10-6-2-4-8-12(10)14-11/h1-8,13H",-13.06,0,"[-13.06, -13.06]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",60.096,199.278,4,14
CCCCO,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3","InChI=1/C12H9NS/c1-3-7-11-9(5-1)13-10-6-2-4-8-12(10)14-11/h1-8,13H",-13.06,0,"[-13.06, -13.06]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",74.123,199.278,5,14
CCCCCO,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,"InChI=1/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3","InChI=1/C12H9NS/c1-3-7-11-9(5-1)13-10-6-2-4-8-12(10)14-11/h1-8,13H",-13.08,0,"[-13.08, -13.08]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",88.15,199.278,6,14
CCCCCCO,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,"InChI=1/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3","InChI=1/C12H9NS/c1-3-7-11-9(5-1)13-10-6-2-4-8-12(10)14-11/h1-8,13H",-13.09,0,"[-13.09, -13.09]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",102.177,199.278,7,14
CCCCCCCO,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,"InChI=1/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3","InChI=1/C12H9NS/c1-3-7-11-9(5-1)13-10-6-2-4-8-12(10)14-11/h1-8,13H",-13.09,0,"[-13.09, -13.09]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",116.204,199.278,8,14
CCCCCCCCCCO,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,"InChI=1/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3","InChI=1/C12H9NS/c1-3-7-11-9(5-1)13-10-6-2-4-8-12(10)14-11/h1-8,13H",-12.99,0,"[-12.99, -12.99]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",158.285,199.278,11,14
CCCCCCCCO,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,"InChI=1/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3","InChI=1/C12H9NS/c1-3-7-11-9(5-1)13-10-6-2-4-8-12(10)14-11/h1-8,13H",-13.06,0,[-13.06],['Abraham Paper (A12)'],130.231,199.278,9,14
CCC(C)CO,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,"InChI=1/C5H12O/c1-3-5(2)4-6/h5-6H,3-4H2,1-2H3","InChI=1/C12H9NS/c1-3-7-11-9(5-1)13-10-6-2-4-8-12(10)14-11/h1-8,13H",-12.73,0,[-12.73],['Abraham Paper (A12)'],88.15,199.278,6,14
CC(O)CC(C)C,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,"InChI=1/C6H14O/c1-5(2)4-6(3)7/h5-7H,4H2,1-3H3","InChI=1/C12H9NS/c1-3-7-11-9(5-1)13-10-6-2-4-8-12(10)14-11/h1-8,13H",-12.63,0,[-12.63],['Abraham Paper (A12)'],102.177,199.278,7,14
CCCC(C)CO,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,"InChI=1/C6H14O/c1-3-4-6(2)5-7/h6-7H,3-5H2,1-2H3","InChI=1/C12H9NS/c1-3-7-11-9(5-1)13-10-6-2-4-8-12(10)14-11/h1-8,13H",-12.75,0,[-12.75],['Abraham Paper (A12)'],102.177,199.278,7,14
CCCC(O)C,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,"InChI=1/C5H12O/c1-3-4-5(2)6/h5-6H,3-4H2,1-2H3","InChI=1/C12H9NS/c1-3-7-11-9(5-1)13-10-6-2-4-8-12(10)14-11/h1-8,13H",-12.83,0,[-12.83],['Abraham Paper (A12)'],88.15,199.278,6,14
CCCCC(CC)CO,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,"InChI=1/C8H18O/c1-3-5-6-8(4-2)7-9/h8-9H,3-7H2,1-2H3","InChI=1/C12H9NS/c1-3-7-11-9(5-1)13-10-6-2-4-8-12(10)14-11/h1-8,13H",-12.7,0,[-12.7],['Abraham Paper (A12)'],130.231,199.278,9,14
CCOCC,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,"InChI=1/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3","InChI=1/C12H9NS/c1-3-7-11-9(5-1)13-10-6-2-4-8-12(10)14-11/h1-8,13H",-13.49,0,[-13.49],['Abraham Paper (A12)'],74.123,199.278,5,14
CCCCOCCCC,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,"InChI=1/C8H18O/c1-3-5-7-9-8-6-4-2/h3-8H2,1-2H3","InChI=1/C12H9NS/c1-3-7-11-9(5-1)13-10-6-2-4-8-12(10)14-11/h1-8,13H",-12.73,0,[-12.73],['Abraham Paper (A12)'],130.231,199.278,9,14
CC(C)OC(C)C,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,"InChI=1/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3","InChI=1/C12H9NS/c1-3-7-11-9(5-1)13-10-6-2-4-8-12(10)14-11/h1-8,13H",-12.85,0,[-12.85],['Abraham Paper (A12)'],102.177,199.278,7,14
CC(C)(C)OC,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,"InChI=1/C5H12O/c1-5(2,3)6-4/h1-4H3","InChI=1/C12H9NS/c1-3-7-11-9(5-1)13-10-6-2-4-8-12(10)14-11/h1-8,13H",-13.36,0,[-13.36],['Abraham Paper (A12)'],88.15,199.278,6,14
CC(=O)OCCC,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,"InChI=1/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3","InChI=1/C12H9NS/c1-3-7-11-9(5-1)13-10-6-2-4-8-12(10)14-11/h1-8,13H",-13.89,0,[-13.89],['Abraham Paper (A12)'],102.133,199.278,7,14
CO,C1=CC=C2C(=C1)SC3=CC=CC=C3S2,"InChI=1/CH4O/c1-2/h2H,1H3",InChI=1/C12H8S2/c1-2-6-10-9(5-1)13-11-7-3-4-8-12(11)14-10/h1-8H,-10.93,0,"[-10.93, -10.93]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",32.042,216.33,2,14
CCCO,C1=CC=C2C(=C1)SC3=CC=CC=C3S2,"InChI=1/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",InChI=1/C12H8S2/c1-2-6-10-9(5-1)13-11-7-3-4-8-12(11)14-10/h1-8H,-11.3,0,"[-11.3, -11.3]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",60.096,216.33,4,14
CCCCO,C1=CC=C2C(=C1)SC3=CC=CC=C3S2,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",InChI=1/C12H8S2/c1-2-6-10-9(5-1)13-11-7-3-4-8-12(11)14-10/h1-8H,-11.38,0,"[-11.38, -11.38]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",74.123,216.33,5,14
CCCCCO,C1=CC=C2C(=C1)SC3=CC=CC=C3S2,"InChI=1/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3",InChI=1/C12H8S2/c1-2-6-10-9(5-1)13-11-7-3-4-8-12(11)14-10/h1-8H,-11.46,0,"[-11.46, -11.46]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",88.15,216.33,6,14
CCCCCCO,C1=CC=C2C(=C1)SC3=CC=CC=C3S2,"InChI=1/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",InChI=1/C12H8S2/c1-2-6-10-9(5-1)13-11-7-3-4-8-12(11)14-10/h1-8H,-11.51,0,"[-11.51, -11.51]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",102.177,216.33,7,14
CCCCCCCO,C1=CC=C2C(=C1)SC3=CC=CC=C3S2,"InChI=1/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3",InChI=1/C12H8S2/c1-2-6-10-9(5-1)13-11-7-3-4-8-12(11)14-10/h1-8H,-11.6,0,"[-11.6, -11.6]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",116.204,216.33,8,14
CCCCCCCCCCO,C1=CC=C2C(=C1)SC3=CC=CC=C3S2,"InChI=1/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3",InChI=1/C12H8S2/c1-2-6-10-9(5-1)13-11-7-3-4-8-12(11)14-10/h1-8H,-11.57,0,"[-11.57, -11.57]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",158.285,216.33,11,14
CCCCCCCCO,C1=CC=C2C(=C1)SC3=CC=CC=C3S2,"InChI=1/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3",InChI=1/C12H8S2/c1-2-6-10-9(5-1)13-11-7-3-4-8-12(11)14-10/h1-8H,-11.58,0,[-11.58],['Abraham Paper (A12)'],130.231,216.33,9,14
CCCCC(CC)CO,C1=CC=C2C(=C1)SC3=CC=CC=C3S2,"InChI=1/C8H18O/c1-3-5-6-8(4-2)7-9/h8-9H,3-7H2,1-2H3",InChI=1/C12H8S2/c1-2-6-10-9(5-1)13-11-7-3-4-8-12(11)14-10/h1-8H,-11.42,0,[-11.42],['Abraham Paper (A12)'],130.231,216.33,9,14
CCOCC,C1=CC=C2C(=C1)SC3=CC=CC=C3S2,"InChI=1/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",InChI=1/C12H8S2/c1-2-6-10-9(5-1)13-11-7-3-4-8-12(11)14-10/h1-8H,-12.07,0,[-12.07],['Abraham Paper (A12)'],74.123,216.33,5,14
CC(C)OC(C)C,C1=CC=C2C(=C1)SC3=CC=CC=C3S2,"InChI=1/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3",InChI=1/C12H8S2/c1-2-6-10-9(5-1)13-11-7-3-4-8-12(11)14-10/h1-8H,-11.73,0,[-11.73],['Abraham Paper (A12)'],102.177,216.33,7,14
CC(C)(C)OC,C1=CC=C2C(=C1)SC3=CC=CC=C3S2,"InChI=1/C5H12O/c1-5(2,3)6-4/h1-4H3",InChI=1/C12H8S2/c1-2-6-10-9(5-1)13-11-7-3-4-8-12(11)14-10/h1-8H,-12.07,0,[-12.07],['Abraham Paper (A12)'],88.15,216.33,6,14
CO,C1=CC=C2C=C3C=CC=CC3=CC2=C1,"InChI=1/CH4O/c1-2/h2H,1H3",InChI=1/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,-9.89,0,"[-9.89, -9.89]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",32.042,178.234,2,14
CCO,C1=CC=C2C=C3C=CC=CC3=CC2=C1,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3",InChI=1/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,-10.39,0,"[-10.39, -10.39]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",46.069,178.234,3,14
CCCO,C1=CC=C2C=C3C=CC=CC3=CC2=C1,"InChI=1/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",InChI=1/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,-10.04,0,"[-10.04, -10.04]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",60.096,178.234,4,14
CCCCO,C1=CC=C2C=C3C=CC=CC3=CC2=C1,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",InChI=1/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,-10.12,0,"[-10.12, -10.12]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",74.123,178.234,5,14
CCCCCO,C1=CC=C2C=C3C=CC=CC3=CC2=C1,"InChI=1/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3",InChI=1/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,-10.18,0,"[-10.18, -10.18]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",88.15,178.234,6,14
CCCCCCO,C1=CC=C2C=C3C=CC=CC3=CC2=C1,"InChI=1/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",InChI=1/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,-10.28,0,"[-10.28, -10.28]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",102.177,178.234,7,14
CCCCCCCO,C1=CC=C2C=C3C=CC=CC3=CC2=C1,"InChI=1/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3",InChI=1/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,-10.34,0,"[-10.34, -10.34]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",116.204,178.234,8,14
CCCCCCCCCCO,C1=CC=C2C=C3C=CC=CC3=CC2=C1,"InChI=1/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3",InChI=1/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,-10.52,0,"[-10.52, -10.52]","['Abraham Paper (A12)', 'Abraham Paper (A2)']",158.285,178.234,11,14
CCC(O)(C)C,C1=CC=C2C=C3C=CC=CC3=CC2=C1,"InChI=1/C5H12O/c1-4-5(2,3)6/h6H,4H2,1-3H3",InChI=1/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,-9.99,0,[-9.99],['Abraham Paper (A12)'],88.15,178.234,6,14
CC(O)CC(C)C,C1=CC=C2C=C3C=CC=CC3=CC2=C1,"InChI=1/C6H14O/c1-5(2)4-6(3)7/h5-7H,4H2,1-3H3",InChI=1/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,-9.89,0,[-9.89],['Abraham Paper (A12)'],102.177,178.234,7,14
CCCC(C)CO,C1=CC=C2C=C3C=CC=CC3=CC2=C1,"InChI=1/C6H14O/c1-3-4-6(2)5-7/h6-7H,3-5H2,1-2H3",InChI=1/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,-10.03,0,[-10.03],['Abraham Paper (A12)'],102.177,178.234,7,14
CCCC(O)C,C1=CC=C2C=C3C=CC=CC3=CC2=C1,"InChI=1/C5H12O/c1-3-4-5(2)6/h5-6H,3-4H2,1-2H3",InChI=1/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,-9.99,0,[-9.99],['Abraham Paper (A12)'],88.15,178.234,6,14
CCCCC(CC)CO,C1=CC=C2C=C3C=CC=CC3=CC2=C1,"InChI=1/C8H18O/c1-3-5-6-8(4-2)7-9/h8-9H,3-7H2,1-2H3",InChI=1/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,-10.11,0,[-10.11],['Abraham Paper (A12)'],130.231,178.234,9,14
CC(C)CCCC(C)CCO,C1=CC=C2C=C3C=CC=CC3=CC2=C1,"InChI=1/C10H22O/c1-9(2)5-4-6-10(3)7-8-11/h9-11H,4-8H2,1-3H3",InChI=1/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,-10.22,0,[-10.22],['Abraham Paper (A12)'],158.285,178.234,11,14
CCOCC,C1=CC=C2C=C3C=CC=CC3=CC2=C1,"InChI=1/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",InChI=1/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,-10.87,0,[-10.87],['Abraham Paper (A12)'],74.123,178.234,5,14
CCCCOCCCC,C1=CC=C2C=C3C=CC=CC3=CC2=C1,"InChI=1/C8H18O/c1-3-5-7-9-8-6-4-2/h3-8H2,1-2H3",InChI=1/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,-10.63,0,"[-10.63, -10.63]","['Abraham Paper (A12)', 'Abraham Paper (A9)']",130.231,178.234,9,14
CC(C)OC(C)C,C1=CC=C2C=C3C=CC=CC3=CC2=C1,"InChI=1/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3",InChI=1/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,-10.48,0,[-10.48],['Abraham Paper (A12)'],102.177,178.234,7,14
CC(C)(C)OC,C1=CC=C2C=C3C=CC=CC3=CC2=C1,"InChI=1/C5H12O/c1-5(2,3)6-4/h1-4H3",InChI=1/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,-10.74,0,[-10.74],['Abraham Paper (A12)'],88.15,178.234,6,14
CC(=O)OCC,C1=CC=C2C=C3C=CC=CC3=CC2=C1,"InChI=1/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",InChI=1/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,-11.12,0,"[-11.12, -11.12]","['Abraham Paper (A12)', 'Abraham Paper (A3)']",88.106,178.234,6,14
CC(=O)OC,C1=CC=C2C=C3C=CC=CC3=CC2=C1,InChI=1/C3H6O2/c1-3(4)5-2/h1-2H3,InChI=1/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,-11.08,0,"[-11.08, -11.08]","['Abraham Paper (A12)', 'Abraham Paper (A3)']",74.079,178.234,5,14
CC(=O)OCCCC,C1=CC=C2C=C3C=CC=CC3=CC2=C1,"InChI=1/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3",InChI=1/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,-11.13,0,"[-11.13, -11.13]","['Abraham Paper (A12)', 'Abraham Paper (A3)']",116.16,178.234,8,14
CC(=O)OCCC,C1=CC=C2C=C3C=CC=CC3=CC2=C1,"InChI=1/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3",InChI=1/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,-11.14,0,[-11.14],['Abraham Paper (A12)'],102.133,178.234,7,14
CC(=O)OCCCCC,C1=CC=C2C=C3C=CC=CC3=CC2=C1,"InChI=1/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3",InChI=1/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,-11.14,0,[-11.14],['Abraham Paper (A12)'],130.187,178.234,9,14
COC(=O)CCC,C1=CC=C2C=C3C=CC=CC3=CC2=C1,"InChI=1/C5H10O2/c1-3-4-5(6)7-2/h3-4H2,1-2H3",InChI=1/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,-11.15,0,[-11.15],['Abraham Paper (A12)'],102.133,178.234,7,14
CCCCOCCO,C1=CC=C2C=C3C=CC=CC3=CC2=C1,"InChI=1/C6H14O2/c1-2-3-5-8-6-4-7/h7H,2-6H2,1H3",InChI=1/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,-10.8,0,[-10.8],['Abraham Paper (A12)'],118.176,178.234,8,14
